Filename,Title,Authors,Application,Definition_of_Deepfake,Identity_Source,Identity_Source_Reasoning,Intent,Intent_Reasoning,Modality,Modality_Reasoning,Manipulation_Granularity,Manipulation_Granularity_Reasoning,Cites,Year,Source,Publisher,RelatedURL
3XYYQ78T_Singer - 2024 - Teen girls confront an epidemic of deepfake nudes in schools.pdf,Teen girls confront an epidemic of deepfake nudes in schools,N Singer,Education (schools),"Artificially generated images that swap or modify the identities of individuals, often for harmful purposes.",Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are replaced between students.,Deceptive,"The intent is for non-consensual and harmful content sharing, classified as non-deceptive despite harmful purposes.",Visual,Focuses on visual media (images) created using AI to fabricate explicit content.,Holistic,Involves complete identity replacement rather than specific attribute changes.,10,2024,The New York Times,senate.mn,"https://scholar.google.com/scholar?q=related:Tguz1sHvUWIJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
ZNLL2FNB_Amerini et al. - 2024 - Deepfake Media Forensics State of the Art and Challenges Ahead.pdf,Deepfake Media Forensics: State of the Art and Challenges Ahead,"I Amerini, M Barni, S Battiato, P Bestagini…",The primary application is the detection and analysis of Deepfakes in media.,Deepfakes are synthetic media created using AI that mimic real content but are difficult to distinguish from genuine material.,Original-to-Target Transfer,"The paper discusses face swapping, which involves transferring identities from one person to another.",Deceptive,The focus is on detecting and analyzing Deepfakes for forensic purposes rather than their malicious use.,Visual,The discussion centers on visual media such as images and videos used in Deepfakes.,Targeted Attribute,No reasoning provided,8,2024,arXiv preprint arXiv …,arxiv.org,"https://scholar.google.com/scholar?q=related:RfyuI1MCOk0J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
BT2AAWQV_ï¿½ï¿½orï¿½ï¿½eviï¿½ï¿½ et al. - 2019 - Deepfake video analysis using SIFT ,Deepfake video analysis using SIFT features,"M Đorđević, M Milivojević…",Various applications including entertainment and identity-related issues,"Artificially generated videos that involve face swapping or identity replacement, analyzed using SIFT features to detect them.",Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transferred between people, fitting the original-to-target transfer category.",Deceptive,The intent is to detect these deepfakes rather than create them for legitimate purposes.,Visual,The focus is on video-based visual deepfakes as mentioned in the abstract.,Holistic,"The manipulation involves complete identity replacement, hence holistic.",12,2019,2019 27th …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:vY17Fyv9li4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
1377_GenerativeAIintheDeepInternet.pdf,Generative AI in the deep internet: Treat and counter measures for the next generation resilience,"A Sharma, D Kejriwal, AK Pakina","Digital creativity (content generation), healthcare design, education, medical domains; also used for disinformation, phishing attacks, etc.","Artificially generated content that mimics real-world data with high realism, such as text from GPT and visuals from StyleGAN, often used for malicious purposes.",Original-to-Target Transfer,"The paper discusses deepfakes involving disinformation and identity theft, which typically involve face swapping or attribute manipulation.",Deceptive,The intent is to create deceptive content for harmful purposes like phishing and spreading disinformation.,Visual,"The focus is on visual deepfakes such as images generated by StyleGAN, falling under the visual modality.",Targeted Attribute,"The manipulation involves altering specific attributes (e.g., age or expression) to create realistic but fake identities.",15,2023,… Journal of Artificial Intelligence …,researchgate.net,"https://scholar.google.com/scholar?q=related:DDRqFKywJUAJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
98VADLKZ_Pantserev - 2020 - The malicious use of AI-based deepfake technology as the new threat to psychological security and po.pdf,The malicious use of AI-based deepfake technology as the new threat to psychological security and political stability,KA Pantserev,"Cybersecurity threats, critical infrastructure","AI-generated images or videos that manipulate identities, often for malicious purposes",Original-to-Target Transfer,"The paper discusses AI-based deepfakes used for face swapping, where identities are transferred between individuals",Deceptive,The focus is on the psychological security threats and malicious intent behind these deepfakes,Visual,The content focuses on visual media such as images or videos,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes,115,2020,"Cyber defence in the age of AI, smart societies and …",Springer,"https://scholar.google.com/scholar?q=related:eWHowe_APc0J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
GQDUHKZ9_Kiselev - 2021 - On the expansion of legal regulation in the field of artificial intelligence Deepfake as a threat t.pdf,On the expansion of legal regulation in the field of artificial intelligence: Deepfake as a threat to national security,AS Kiselev,"Political manipulation, fraud","Deepfakes are technology-based tools that use generative adversarial networks to alter or swap identities, often for deceptive purposes.",Original-to-Target Transfer,"The paper discusses deepfakes used in elections where faces are swapped (Aï¿½ï¿½ï¿½B), indicating identity replac",Deceptive,"The intent is for political manipulation and fraud, which falls under deceptive purposes.",Visual,"The focus is on visual content such as election footage, hence Visual.",Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,20,2021,Moscow Juridical Journal,lawmgoujournal.ru,"https://scholar.google.com/scholar?q=related:axMPgb9Si9EJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
QGWCQ3YY_Kietzmann et al. - 2021 - Deepfakes Perspectives on the future ï¿½ï¿½ï¿½realityï¿½ï¿½ï¿½ of advertising and ,Deepfakes: Perspectives on the future “reality” of advertising and branding,"J Kietzmann, AJ Mills, K Plangger",Advertising and branding,"Artificially generated videos that use AI to superimpose voices and likenesses, effectively altering identities or messages.",Original-to-Target Transfer,The paper discusses deepfakes involving face swapping between individuals.,Non-deceptive,"These deepfakes are primarily used for legitimate purposes in advertising and branding, aiming to enhance authenticity without deceit.",Visual,"The focus is on video-based visual content, which is the primary medium discussed in the paper.",Both Targeted and Holistic,The deepfakes involve both specific attribute changes (like faces) and holistic identity transformations.,105,2021,International Journal of …,Taylor &Francis,"https://scholar.google.com/scholar?q=related:QOhO87g8xvsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
I8NYB7AJ_Lai et al. - 2024 - Gm-df Generalized multi-scenario deepfake detection.pdf,Gm-df: Generalized multi-scenario deepfake detection,"Y Lai, Z Yu, J Yang, B Li, X Kang, L Shen","Entertainment (movies, social media), Identity theft/fraud, Political manipulation, Pornography",Deepfakes are artificial face-forge detection models that create realistic fake identities or modify existing ones to deceive.,Original-to-Target Transfer,"The paper discusses face swapping deepfakes across multiple scenarios, involving identity transfer.",Non-deceptive,The focus is on detecting deepfakes for security purposes rather than creating them.,Visual,The paper deals with visual media such as images and videos.,Both Targeted and Holistic,The framework handles both specific attribute changes and complete identity replacement.,14,2024,arXiv preprint arXiv:2406.20078,arxiv.org,"https://scholar.google.com/scholar?q=related:6lqoCjrWDW4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
1-s2.0-S1877050923002375-main.pdf,Revealing and classification of deepfakes video's images using a customize convolution neural network model,"U Kosarkar, G Sarkarkar, S Gedam","Entertainment (movies, social media), identity theft/fraud, political manipulation, pornography",Artificially generated images or videos that manipulate face information to replace or substitute identities.,Original-to-Target Transfer,"The paper discusses deepfakes where face information is layered over another's, involving identity replacement.",Non-deceptive,"The applications include legitimate uses like entertainment and education, making the intent non-deceptive.",Visual,The focus is on visual media types such as images and videos.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,60,2023,Procedia Computer Science,Elsevier,"https://scholar.google.com/scholar?q=related:fDQc-1X3f0QJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Deepfake_An_Introduction.pdf,Deepfake-An Introduction,"A Hauser, M Ruef","['Entertainment (movies, social media, fun apps)', 'Identity theft/fraud', 'Political manipulation', ' Pornography', ' Education (historical figure recreation)']",Deepfakes are artificial face-swapping technologies that replace one person's face with another while maintaining realistic expressions and surroundings.,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,4,2018,skip Labs,academia.edu,"https://scholar.google.com/scholar?q=related:8XjuSe4wzDIJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Social_Media_and_Artificial_Intelligence.pdf,Social media and artificial intelligence: perspectives on deepfakes use in Nigeria's 2023 general elections,"JE Ekpang, S Iyorza, PO Ekpang",Political manipulation during elections,"Deepfakes are artificial images or videos that manipulate identities, often used for deception.",Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are replaced, fitting the original-to-target transfer category.",Deceptive,"Deepfakes in elections are used to manipulate public opinion, classified as deceptive intent.",Visual,The focus is on visual media like social media posts.,Holistic,The deepfakes involve complete identity replacement.,6,2023,KIU Interdisciplinary Journal of …,academia.edu,"https://scholar.google.com/scholar?q=related:2O5IgVNoqnkJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
TIDXW95H_ï¿½ï¿½abuz - 2024 - Deep fakes and the Artificial Intelligence Actï¿½ï¿½ï¿½An important signal or a missed oppor,Deep fakes and the Artificial Intelligence Act—An important signal or a missed opportunity?,M Łabuz,"Entertainment, identity theft/fraud, political manipulation, pornography","Artificially generated content that manipulates identities through deepfakes, often used for deceptive purposes.",Original-to-Target Transfer,"The paper discusses deepfakes involving identity replacement, particularly in pornography and political contexts.",Deceptive,Deepfakes are used for malicious purposes like fraud and identity theft.,Visual,The focus is on visual content such as images and videos.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,7,2024,Policy &Internet,Wiley Online Library,"https://scholar.google.com/scholar?q=related:jMgLF2OCDs8J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Rachel_Charlotte_Fletcher_.pdf,The dark side of Artificial Intelligence–Risks arising in dating applications,"R Fletcher, C Tzani, M Ioannou","Identity theft and fraud in dating apps, realistic image manipulation for convincing users","Deepfakes involve creating convincing personas through technology, often used to deceive users.",Original-to-Target Transfer,"The paper discusses face swapping and realistic image manipulation for identity transfer, fitting 'Original-to-Target Transfer'.",Deceptive,The intent is to use deepfakes for fraudulent purposes like identity theft.,Visual,The focus is on visual media types used in dating apps.,Holistic,No reasoning provided,7,2024,Assessment and Development …,pure.hud.ac.uk,"https://scholar.google.com/scholar?q=related:D7js6pO9JCcJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
IG5QA8M8_Bates - 2018 - Say What'Deepfakes' Are Deeply Concerning.pdf,Say What?'Deepfakes' Are Deeply Concerning,ME Bates,Entertainment and online content creation,"Artificially generated videos that realistically swap faces between people, making them difficult to distinguish from real content.",Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transferred between people, such as celebrities in pornographic videos.",Non-deceptive,"The applications mentioned, like creating fake videos and using voice cloning technology, suggest the intent is for legitimate purposes rather than deception.",Visual,The focus is on visual media types like images and videos.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,9,2018,Online Searcher,batesinfo.com,"https://scholar.google.com/scholar?q=related:flB4hRv4jyoJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
2FQ6PNFW_Akhtar et al. - 2024 - Video and audio deepfake datasets and open issues in deepfake technology being ahead of the curve.pdf,Video and audio deepfake datasets and open issues in deepfake technology: being ahead of the curve,"Z Akhtar, TL Pendyala, VS Athmakuri","Entertainment (social media), malicious purposes (fraud, identity theft)",Artificially synthesized video and audio content created using deep neural networks for various applications.,Original-to-Target Transfer,The paper discusses face swapping and voice cloning deepfakes where identities are transferred or modified.,Deceptive,"The applications include both entertainment (like social media) and malicious purposes (fraud, identity theft).",Visual,The paper focuses on datasets involving video and audio content types.,Targeted Attribute,The deepfakes involve specific attribute changes like face swapping or voice cloning.,14,2024,Forensic Sciences,mdpi.com,"https://scholar.google.com/scholar?q=related:vkGgDbcMoUsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Deepfake_2024_Citizens_United_and_Artifical_Intelligence.pdf,Deepfake 2024: Will Citizens United and Artificial Intelligence Together Destroy Representative Democracy?,RW Painter,Political manipulation through deepfake ads and related applications in elections,"Deepfakes are artificial-generated videos or audio that mimic real people's voices or expressions, often used for deceptive purposes.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity replacement, which are examples of original-to-target transfer.",Deceptive,"The intent is primarily to manipulate elections deceptively, fitting the 'Deceptive' category.",Visual,The focus is on visual media such as videos used in political campaigns.,Holistic,The deepfakes involve complete identity replacement rather than targeted attribute changes.,9,2023,J. Nat'l Sec. L. &Pol'y,HeinOnline,"https://scholar.google.com/scholar?q=related:68JBR1GC4UgJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
KLUNP9GH_Rana et al. - 2024 - Deepfakesï¿½ï¿½ï¿½reality under thre,Deepfakes–reality under threat?,"MS Rana, M Solaiman, C Gudla…",Political Manipulation and Digital Media,AI-generated videos that blend one person's facial expressions onto another to create nearly indistinguishable content from reality.,Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are transferred between individuals.,Deceptive,"The intent is to combat malicious uses such as political distress and fake terrorism, making these deepfakes deceptive for harmful purposes.",Visual,"The focus is on video-based visual content, which the paper discusses in detail.",Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,6,2024,2024 IEEE 14th Annual …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:ZFX1isrAmcoJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
H9JFAP2E_Sohrawardi et al. - 2020 - Defaking DeepFakes Understanding journalists' needs for DeepFake detection.pdf,Defaking DeepFakes: Understanding journalists' needs for DeepFake detection,"SJ Sohrawardi, S Seng, A Chintha, B Thai…","Media and public perception manipulation (e.g., identity theft, political manipulation)",AI-generated manipulated audio or video that appears real but involves deceptive identity replacement.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, where identities are transferred between individuals.",Deceptive,"The intent is to deceive and manipulate public perception, as mentioned in the abstract.",Visual,The focus is on video-based visual content manipulation.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,18,2020,Proceedings of the …,usenix.org,"https://scholar.google.com/scholar?q=related:BxvKk86bzZsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Deepfake_Detection_Techniques_A_Review.pdf,Deepfake Detection Techniques: A Review,"N Guhagarkar, S Desai, S Vaishampayan…",The paper discusses various detection techniques for deepfakes which are AI-generated manipulated videos.,Deepfakes are AI-generated manipulated videos that appear original but are fake.,Original-to-Target Transfer,"The paper discusses techniques involving face swapping and identity replacement, which are examples of original-to-target transfer deepfakes.",Non-deceptive,"The focus is on detection methods rather than malicious use, hence non-deceptive intent.",Visual,All references are to video-based visual deepfakes.,Holistic,The techniques involve complete identity replacement.,7,2021,VIVA-Tech Int. J. Res …,academia.edu,"https://scholar.google.com/scholar?q=related:AlIzSBMTXR4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
INEN9Y4M_Lu and Yuan - 2024 - ï¿½ï¿½ï¿½I know it'sa deepfakeï¿½ï¿½ï¿½ the role of AI disclaimers and comprehension in the processing of ,“I know it'sa deepfake”: the role of AI disclaimers and comprehension in the processing of deepfake parodies,"H Lu, S Yuan",Social media and entertainment,"Deepfakes are artificially generated misrepresentations, often involving face swapping or identity replacement to deceive viewers.",Original-to-Target Transfer,"The paper discusses deepfakes involving parodies where identities are swapped, fitting the original-to-target transfer model.",Deceptive,"The study focuses on how these disclaimers influence audience comprehension and recognition of the parody, suggesting deceptive intent.",Visual,"The experiments involve video-based visual content, focusing on visual deepfakes.",Holistic,The parodies involve complete identity replacement rather than specific attribute changes.,6,2024,Journal of Communication,academic.oup.com,"https://scholar.google.com/scholar?q=related:Gz5deMsotN8J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
CBUM9NAA_Vizoso et al. - 2021 - Fighting deepfakes Media and internet giants' converging and diverging strategies against hi-tech m.pdf,Fighting deepfakes: Media and internet giants' converging and diverging strategies against hi-tech misinformation,"Á Vizoso, M Vaz-Álvarez…","Fake news dissemination through online platforms, social media, and news spaces; spreading misinformation for various purposes like political manipulation or entertainment.","AI-enhanced manipulations such as face swapping, sound alterations, or photo docturing used to spread misinformation.",Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are transferred between people.,Deceptive,"The focus is on spreading misinformation for purposes like fake news, which can be legitimate in terms of disseminating false information.",Visual,The paper focuses on video-based visual deepfakes and audio manipulations.,Targeted Attribute,The tools allow manipulation of specific attributes like age or expression.,86,2021,Media and …,cogitatiopress.com,"https://scholar.google.com/scholar?q=related:6RCTeUS2l_YJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
ZHVYAU2Q_Li et al. - 2024 - From Audio Deepfake Detection to AI-Generated Music Detectionï¿½ï¿½ï¿½A Pathway and Overvi,From Audio Deepfake Detection to AI-Generated Music Detection--A Pathway and Overview,"Y Li, M Milling, L Specia, BW Schuller",AI-Generated Music Detection,Deepfakes in this context refer to AI-generated audio content that mimics real conversations or sounds.,Original Modification,"The paper discusses audio deepfakes involving voice modifications, which are targeted attribute changes.",Deceptive,The focus is on detection to prevent misuse rather than creating content for legitimate purposes.,Audio,The discussion centers on audio-based deepfakes used in music detection.,Targeted Attribute,"The modifications involve changing voice characteristics, classified as targeted attribute manipulation.",4,2024,arXiv preprint arXiv:2412.00571,arxiv.org,"https://scholar.google.com/scholar?q=related:ELPW4vyU7IAJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
F6G6SP4I_Johnson - 2021 - 'Catalytic nuclear war'in the age of artificial intelligence & autonomy Emerging military technolog.pdf,'Catalytic nuclear war'in the age of artificial intelligence & autonomy: Emerging military technology and escalation risk between nuclear-armed states,J Johnson,Military/Security,"Deepfakes used to simulate complex geopolitical scenarios involving identity manipulation and counterretaliation dynamics, particularly in the context of potential nuclear escalation.",Original-to-Target Transfer,"The paper discusses deepfakes involving identity swapping and counterretaliation, which fall under face swapping (Aï¿½ï¿½",Deceptive,The intent is to manipulate geopolitical scenarios that could lead to nuclear conflict.,Visual,The focus is on visual representations such as videos or images depicting these interactions.,Holistic,"The deepfakes involve complete identity replacement, not just attribute changes.",30,2021,Journal of Strategic Studies,Taylor &Francis,"https://scholar.google.com/scholar?q=related:S8zpyK-oJ0kJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
T3ZGXFAC_Lee et al. - 2022 - Deepfake detection for fake images with facemasks.pdf,Deepfake detection for fake images with facemasks,"S Lee, D Ko, J Park, S Shin, D Hong…",Security and surveillance during the pandemic,"Synthetic images designed to deceive detection systems by altering or replacing identities, particularly using facemasks.",Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,9,2022,… Implications of Deepfakes …,dl.acm.org,"https://scholar.google.com/scholar?q=related:WcZPug9xICcJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
